,y,N,i,d,K,x
171,0.148,4905,1,0,2,2
172,0.687,4905,0,0,2,2
173,0.491,4905,1,0,2,2
174,1.2269999999999999,4905,1,0,2,2
175,0.10400000000000001,4905,1,0,2,2
176,0.179,4905,1,0,2,2
177,0.9119999999999999,4905,1,0,2,2
178,0.10200000000000001,4905,1,0,2,2
179,0.196,4905,1,0,2,2
180,0.667,4905,1,0,2,2
181,1.436,4905,1,0,2,2
182,0.058,4905,1,0,2,2
183,0.227,4905,1,0,2,2
184,0.8180000000000001,4905,0,0,2,2
185,1.794,4905,0,0,2,2
186,0.9410000000000001,4905,0,0,2,2
187,0.18,4905,0,0,2,2
188,0.061,4905,1,0,2,2
189,0.7070000000000001,4905,1,0,2,2
190,0.41500000000000004,4905,1,0,2,2
191,1.082,4905,1,0,2,2
192,0.192,4905,1,0,2,2
193,0.137,4905,1,0,2,2
194,0.299,4905,1,0,2,2
195,0.5880000000000001,4905,1,0,2,2
196,0.058,4905,1,0,2,2
197,0.827,4905,1,0,2,2
198,0.463,4905,1,0,2,2
199,0.537,4905,1,0,2,2
200,0.255,4905,1,0,2,2
201,0.057,4905,0,1,2,2
202,0.075,4905,0,1,2,2
203,0.10300000000000001,4905,0,1,2,2
204,0.121,4905,0,1,2,2
205,0.09,4905,0,1,2,2
206,0.12,4905,0,1,2,2
207,0.059000000000000004,4905,0,1,2,2
208,0.47800000000000004,4905,1,0,2,2
209,0.265,4905,1,0,2,2
210,0.10400000000000001,4905,1,0,2,2
211,0.059000000000000004,4905,1,0,2,2
212,0.583,4905,1,0,2,2
213,0.074,4905,1,0,2,2
214,0.34500000000000003,4905,1,0,2,2
215,0.298,4905,1,0,2,2
216,0.11900000000000001,4905,1,0,2,2
217,0.23900000000000002,4905,1,0,2,2
218,1.891,4905,0,1,2,2
219,0.10300000000000001,4905,1,0,2,2
220,1.088,4905,1,0,2,2
221,0.133,4905,1,0,2,2
222,0.328,4905,1,0,2,2
223,0.10300000000000001,4905,1,0,2,2
224,0.196,4905,1,0,2,2
225,0.271,4905,0,0,2,2
226,0.193,4905,0,0,2,2
227,1.499,4905,1,0,2,2
228,1.53,4905,1,0,2,2
229,0.193,4905,1,0,2,2
230,1.258,4905,0,1,2,2
231,0.179,4905,0,1,2,2
232,0.106,4905,0,1,2,2
233,1.428,4905,0,1,2,2
234,1.467,4905,1,0,2,2
235,0.373,4905,1,0,2,2
236,0.181,4905,1,0,2,2
237,2.3840000000000003,4905,1,0,2,2
238,0.42,4905,1,0,2,2
239,0.403,4905,1,0,2,2
240,0.332,4905,1,0,2,2
241,0.376,4905,1,0,2,2
242,0.226,4905,1,0,2,2
243,0.23800000000000002,4905,1,1,2,2
244,0.329,4905,1,1,2,2
245,1.784,4905,0,1,2,2
246,0.809,4905,1,0,2,2
247,0.164,4905,1,0,2,2
248,0.421,4905,1,0,2,2
249,0.151,4905,1,0,2,2
250,0.899,4905,1,0,2,2
251,0.255,4905,1,0,2,2
252,0.3,4905,1,0,2,2
253,0.598,4905,1,0,2,2
254,0.136,4905,0,0,2,2
255,0.225,4905,0,1,2,2
256,1.111,4905,0,1,2,2
257,2.874,4905,0,1,2,2
258,1.333,4905,0,1,2,2
259,1.0350000000000001,4905,1,0,2,2
260,0.135,4905,1,0,2,2
261,0.361,4905,1,0,2,2
262,0.315,4905,1,1,2,2
263,0.391,4905,1,1,2,2
264,0.34400000000000003,4905,1,1,2,2
265,0.719,4905,1,0,2,2
266,0.598,4905,1,0,2,2
267,0.359,4905,1,1,2,2
268,0.301,4905,1,1,2,2
269,1.633,4905,1,1,2,2
270,0.255,4905,1,0,2,2
271,0.616,4905,0,1,2,2
272,0.209,4905,0,1,2,2
273,1.9500000000000002,4905,0,1,2,2
274,0.376,4905,1,1,2,2
275,3.8699999999999997,4905,1,1,2,2
276,4.019,4905,1,1,2,2
277,0.21,4905,1,1,2,2
278,0.615,4905,1,1,2,2
279,1.123,4905,1,1,2,2
280,2.848,4905,1,1,2,2
281,1.379,4905,1,1,2,2
282,0.23900000000000002,4905,0,0,2,2
283,0.43300000000000005,4905,1,0,2,2
284,0.494,4905,1,0,2,2
285,1.14,4905,1,1,2,2
286,0.343,4905,1,1,2,2
287,1.483,4905,1,1,2,2
288,0.389,4905,1,1,2,2
289,1.125,4905,1,1,2,2
290,0.21,4905,1,1,2,2
291,2.7720000000000002,4905,1,0,2,2
292,0.974,4905,1,0,2,2
293,0.105,4905,1,1,2,2
294,0.059000000000000004,4905,1,1,2,2
295,0.524,4905,1,1,2,2
296,0.194,4905,1,1,2,2
297,2.519,4905,1,1,2,2
298,0.28600000000000003,4905,1,0,2,2
299,0.20800000000000002,4905,1,0,2,2
300,0.373,4905,1,1,2,2
301,0.166,4905,1,1,2,2
302,0.495,4905,1,1,2,2
303,1.002,4905,1,1,2,2
304,0.28700000000000003,4905,1,1,2,2
305,0.254,4905,1,0,2,2
