,y,N,i,d,K,x
0,0.864,5806,1,0,2,2
1,0.641,5806,1,0,2,2
2,0.062,5806,1,0,2,2
3,0.12,5806,1,0,2,2
4,0.374,5806,1,0,2,2
5,1.782,5806,1,0,2,2
6,0.359,5806,1,0,2,2
7,0.12,5806,1,0,2,2
8,0.914,5806,1,0,2,2
9,0.148,5806,1,0,2,2
10,0.10200000000000001,5806,1,0,2,2
11,0.615,5806,1,0,2,2
12,0.376,5806,1,0,2,2
13,0.33,5806,1,0,2,2
14,1.6400000000000001,5806,1,0,2,2
15,0.059000000000000004,5806,1,0,2,2
16,1.051,5806,1,0,2,2
17,0.527,5806,1,0,2,2
18,0.151,5806,1,0,2,2
19,0.224,5806,1,0,2,2
20,0.12,5806,1,0,2,2
21,0.72,5806,1,0,2,2
22,0.075,5806,1,0,2,2
23,0.345,5806,1,0,2,2
24,0.7120000000000001,5806,1,0,2,2
25,0.353,5806,1,0,2,2
26,0.10300000000000001,5806,1,0,2,2
27,1.665,5806,1,0,2,2
28,0.088,5806,0,0,2,2
29,0.28600000000000003,5806,0,0,2,2
30,0.7140000000000001,5806,0,0,2,2
31,0.193,5806,0,0,2,2
32,0.63,5806,0,0,2,2
33,0.088,5806,0,0,2,2
34,0.91,5806,0,0,2,2
35,0.061,5806,1,0,2,2
36,5.736,5806,1,0,2,2
37,0.684,5806,1,0,2,2
38,0.299,5806,1,0,2,2
39,0.058,5806,1,0,2,2
40,0.114,5806,1,0,2,2
41,0.856,5806,1,1,2,2
42,0.81,5806,1,1,2,2
43,0.46199999999999997,5806,1,1,2,2
44,0.48,5806,1,1,2,2
45,0.45099999999999996,5806,1,1,2,2
46,0.512,5806,1,1,2,2
47,1.821,5806,1,1,2,2
48,2.445,5806,1,1,2,2
49,0.5700000000000001,5806,1,1,2,2
50,4.999,5806,1,1,2,2
51,0.163,5806,1,1,2,2
52,1.412,5806,1,1,2,2
53,0.531,5806,0,0,2,2
54,0.195,5806,0,0,2,2
55,1.593,5806,0,0,2,2
56,1.69,5806,0,0,2,2
57,0.9410000000000001,5806,0,0,2,2
58,0.194,5806,0,0,2,2
59,0.29400000000000004,5806,0,0,2,2
60,0.761,5806,0,0,2,2
61,0.23800000000000002,5806,0,0,2,2
62,0.12,5806,0,0,2,2
63,0.594,5806,1,0,2,2
64,0.496,5806,1,0,2,2
65,0.058,5806,1,0,2,2
66,0.06,5806,1,0,2,2
67,0.163,5806,1,0,2,2
68,0.089,5806,0,0,2,2
69,0.16,5806,0,0,2,2
70,0.195,5806,0,0,2,2
71,0.194,5806,0,0,2,2
72,0.222,5806,0,0,2,2
73,0.31,5806,0,1,2,2
74,0.121,5806,0,1,2,2
75,1.725,5806,0,1,2,2
76,0.792,5806,0,1,2,2
77,0.781,5806,0,1,2,2
78,0.433,5806,0,1,2,2
79,0.48,5806,0,1,2,2
80,0.161,5806,0,1,2,2
81,0.5930000000000001,5806,0,1,2,2
82,3.606,5806,1,1,2,2
83,0.09,5806,1,1,2,2
84,0.193,5806,1,1,2,2
85,0.059000000000000004,5806,1,1,2,2
86,0.105,5806,1,0,2,2
87,1.464,5806,1,0,2,2
88,0.178,5806,1,0,2,2
89,1.569,5806,1,0,2,2
90,1.4010000000000002,5806,1,0,2,2
91,1.2610000000000001,5806,1,0,2,2
92,0.785,5806,1,0,2,2
93,0.205,5806,1,0,2,2
94,0.8820000000000001,5806,0,0,2,2
95,1.171,5806,1,1,2,2
96,0.10400000000000001,5806,1,1,2,2
97,0.909,5806,0,0,2,2
98,5.422,5806,1,1,2,2
99,1.7680000000000002,5806,1,1,2,2
100,0.132,5806,1,1,2,2
101,0.237,5806,1,1,2,2
102,0.253,5806,1,1,2,2
103,0.12,5806,1,1,2,2
104,1.708,5806,1,0,2,2
105,0.075,5806,1,0,2,2
106,0.446,5806,1,0,2,2
107,0.09,5806,1,0,2,2
108,0.6880000000000001,5806,1,0,2,2
109,0.196,5806,1,0,2,2
110,0.105,5806,1,0,2,2
111,0.345,5806,1,0,2,2
112,1.694,5806,1,0,2,2
113,4.368,5806,1,0,2,2
114,0.6900000000000001,5806,1,1,2,2
115,0.10300000000000001,5806,1,1,2,2
116,0.135,5806,1,1,2,2
117,0.23800000000000002,5806,0,1,2,2
118,0.10400000000000001,5806,0,1,2,2
119,0.44600000000000006,5806,0,1,2,2
120,0.312,5806,0,1,2,2
121,0.058,5806,0,1,2,2
122,0.315,5806,1,0,2,2
123,0.075,5806,1,0,2,2
124,0.135,5806,1,0,2,2
