,y,N,i,d,K,x
0,0.641,5378,1,0,2,2
1,0.12,5378,1,0,2,2
2,1.169,5378,1,0,2,2
3,0.33,5378,1,0,2,2
4,0.359,5378,1,0,2,2
5,0.12,5378,1,0,2,2
6,0.121,5378,1,0,2,2
7,0.148,5378,1,0,2,2
8,0.10200000000000001,5378,1,0,2,2
9,0.615,5378,1,0,2,2
10,0.299,5378,1,0,2,2
11,0.06,5378,1,0,2,2
12,0.192,5378,1,0,2,2
13,0.28400000000000003,5378,1,0,2,2
14,0.8109999999999999,5378,1,0,2,2
15,0.059000000000000004,5378,1,0,2,2
16,0.075,5378,1,0,2,2
17,0.345,5378,1,0,2,2
18,0.654,5378,1,0,2,2
19,0.058,5378,1,0,2,2
20,0.057,5378,1,0,2,2
21,0.10300000000000001,5378,1,0,2,2
22,1.665,5378,1,0,2,2
23,0.088,5378,0,0,2,2
24,0.09,5378,0,0,2,2
25,0.10400000000000001,5378,0,0,2,2
26,0.193,5378,0,0,2,2
27,0.63,5378,0,0,2,2
28,0.34400000000000003,5378,0,0,2,2
29,0.492,5378,0,0,2,2
30,5.393,5378,1,0,2,2
31,0.10400000000000001,5378,1,0,2,2
32,0.057,5378,1,0,2,2
33,0.299,5378,1,0,2,2
34,0.057,5378,1,0,2,2
35,0.345,5378,1,1,2,2
36,0.81,5378,1,1,2,2
37,0.46199999999999997,5378,1,1,2,2
38,0.48,5378,1,1,2,2
39,0.45099999999999996,5378,1,1,2,2
40,0.738,5378,1,1,2,2
41,0.959,5378,1,1,2,2
42,2.008,5378,1,1,2,2
43,0.5700000000000001,5378,1,1,2,2
44,4.999,5378,1,1,2,2
45,0.163,5378,1,1,2,2
46,1.412,5378,1,1,2,2
47,0.339,5378,0,0,2,2
48,1.309,5378,0,0,2,2
49,1.182,5378,0,0,2,2
50,0.135,5378,0,0,2,2
51,0.23700000000000002,5378,0,0,2,2
52,0.671,5378,0,0,2,2
53,0.23800000000000002,5378,0,0,2,2
54,0.418,5378,1,0,2,2
55,0.10200000000000001,5378,1,0,2,2
56,0.06,5378,1,0,2,2
57,0.163,5378,1,0,2,2
58,0.089,5378,0,0,2,2
59,0.194,5378,0,0,2,2
60,0.10200000000000001,5378,0,0,2,2
61,0.31,5378,0,1,2,2
62,0.976,5378,0,1,2,2
63,0.45,5378,0,1,2,2
64,0.583,5378,0,1,2,2
65,0.781,5378,0,1,2,2
66,0.48,5378,0,1,2,2
67,0.161,5378,0,1,2,2
68,0.5930000000000001,5378,0,1,2,2
69,3.606,5378,1,1,2,2
70,0.059000000000000004,5378,1,1,2,2
71,0.105,5378,1,0,2,2
72,0.076,5378,1,0,2,2
73,0.924,5378,1,0,2,2
74,0.136,5378,1,0,2,2
75,0.178,5378,1,0,2,2
76,0.16299999999999998,5378,1,0,2,2
77,0.988,5378,1,0,2,2
78,0.8470000000000001,5378,1,0,2,2
79,1.2610000000000001,5378,1,0,2,2
80,0.45999999999999996,5378,1,0,2,2
81,0.223,5378,1,0,2,2
82,0.205,5378,1,0,2,2
